Speed [km/h],Tractive_effort [kN]
0,174.35
1,174.35
5,174.35
10,174.35
15,174.35
20,174.35
25,174.35
30,174.35
33,174.35
35,168.3
40,147.4
45,130.9
50,117.7
55,107.25
60,98.45
65,90.75
70,84.15
75,78.65
80,73.7
85,69.3
90,65.45
95,62.15
100,58.85
105,56.1
110,53.35
115,51.15
120,48.95
