KP [km],Distance step [m],Time [s],Elapsed time [hh:mm:ss],Elapsed time [s],Speed [km/h],Acceleration [m/s²],Equivalent grade [‰],Radius [m],Speed restriction [km/h],Tractive Effort [kN],Braking Effort [kN],Resistance [kN],Energy source
0.06200000,2.00000000,0.24000000,0:00:12,12.85867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.06400000,2.00000000,0.24000000,0:00:13,13.09867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.06600000,2.00000000,0.24000000,0:00:13,13.33867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.06800000,2.00000000,0.24000000,0:00:13,13.57867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.07000000,2.00000000,0.24000000,0:00:13,13.81867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.07200000,2.00000000,0.24000000,0:00:14,14.05867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.07400000,2.00000000,0.24000000,0:00:14,14.29867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.07600000,2.00000000,0.24000000,0:00:14,14.53867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.07800000,2.00000000,0.24000000,0:00:14,14.77867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.08000000,2.00000000,0.24000000,0:00:15,15.01867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.08200000,2.00000000,0.24000000,0:00:15,15.25867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.08400000,2.00000000,0.24000000,0:00:15,15.49867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.08600000,2.00000000,0.24000000,0:00:15,15.73867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.08800000,2.00000000,0.24000000,0:00:15,15.97867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.09000000,2.00000000,0.24000000,0:00:16,16.21867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.09200000,2.00000000,0.24000000,0:00:16,16.45867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
